,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6944444444444443,1.0,0.7714824290852941,0.14285714285714285,0.35714285714285715,0.9,0.8
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9166666666666666,1.0,0.7714824290852941,0.14285714285714285,0.2857142857142857,0.9,0.9
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8488400488400489,1.0,0.7714824290852941,0.14285714285714285,0.21428571428571427,0.95,0.9
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,1.0,0.7714824290852941,0.14285714285714285,0.14285714285714285,0.8,0.95
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8448653198653199,1.0,0.7714824290852941,0.14285714285714285,0.07142857142857142,0.8214594594594594,0.8
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6375,1.0,0.5375909739222221,0.42857142857142855,0.14285714285714285,0.7,0.7
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4386752136752137,1.0,0.5375909739222221,0.42857142857142855,0.07142857142857142,0.6923619631901841,0.7
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9113095238095237,1.0,0.6801102927571429,0.14285714285714285,0.14285714285714285,0.95,1.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8555555555555556,1.0,0.6801102927571429,0.14285714285714285,0.07142857142857142,0.8214594594594594,0.95
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,1.0,0.7406286174916666,0.14285714285714285,0.2857142857142857,0.85,0.9
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.782843137254902,1.0,0.7064073830916666,0.5714285714285714,0.5,0.65,0.95
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7881493506493507,1.0,0.7064073830916666,0.5714285714285714,0.42857142857142855,0.65,0.65
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7563778813778814,1.0,0.7064073830916666,0.5714285714285714,0.35714285714285715,0.9,0.65
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8493265993265994,1.0,0.7064073830916666,0.5714285714285714,0.2857142857142857,0.65,0.9
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6028571428571429,1.0,0.7064073830916666,0.5714285714285714,0.21428571428571427,0.5,0.65
