,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11_A,X11_B,X11_C,X11_D,X11_E,X11_F,X11_Fp,Y
0,1.0,0.9512444734500001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.339035118625455,0,1,0,0,0,0,0,90.0
0,0.8888888888888888,0.7965166047000001,0.95,0.1111111111111111,0.6364121437,0.05,0.0,0.0,0.0,12.339035118625455,0,1,0,0,0,0,0,85.0
0,0.9,0.8597610063111112,0.95,0.1,0.6526346803,0.05,0.0,0.0,0.0,12.339035118625455,0,1,0,0,0,0,0,65.0
0,0.7142857142857143,0.8382214903600002,0.8,0.2857142857142857,0.51335722205,0.2,0.0,0.0,0.0,12.339035118625455,0,1,0,0,0,0,0,80.0
0,1.0,0.8331734737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.339035118625455,0,1,0,0,0,0,0,100.0
0,1.0,0.9543334841666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.339035118625455,0,1,0,0,0,0,0,90.0
0,1.0,0.881021678425,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.339035118625455,0,1,0,0,0,0,0,100.0
0,1.0,0.90354052185,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.339035118625455,0,1,0,0,0,0,0,90.0
0,1.0,0.9245619058600001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.339035118625455,0,1,0,0,0,0,0,90.0
0,1.0,0.8923099240000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.339035118625455,1,0,0,0,0,0,0,80.0
0,0.5,0.9342659414000001,0.45,0.5,0.61473816635,0.55,0.0,0.0,0.0,12.339035118625455,1,0,0,0,0,0,0,70.0
0,0.5,0.9342659414000001,0.45,0.5,0.61473816635,0.55,0.0,0.0,0.0,12.339035118625455,1,0,0,0,0,0,0,70.0
0,0.6666666666666666,0.8719541131999999,0.7,0.0,0.0,0.0,0.3333333333333333,0.2112024873,0.3,12.339035118625455,1,0,0,0,0,0,0,95.0
0,0.5,0.86655256155,0.55,0.25,0.6772564054,0.05,0.25,0.3653080761,0.4,12.339035118625455,1,0,0,0,0,0,0,90.0
0,1.0,0.8661817908500001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.339035118625455,1,0,0,0,0,0,0,90.0
0,1.0,0.9009673595666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.339035118625455,1,0,0,0,0,0,0,90.0
0,0.8571428571428571,0.9357975523,0.9,0.14285714285714285,0.6826192141,0.1,0.0,0.0,0.0,12.339035118625455,1,0,0,0,0,0,0,80.0
0,0.8,0.894241318125,0.8421052631578947,0.2,0.5564495921,0.15789473684210525,0.0,0.0,0.0,12.339035118625455,1,0,0,0,0,0,0,80.0
0,0.8333333333333334,0.9123589515800001,0.9,0.0,0.0,0.0,0.16666666666666666,0.2002250701,0.1,12.339035118625455,1,0,0,0,0,0,0,95.0
0,0.0,0.0,0.0,0.75,0.5357484221333334,0.7,0.25,0.2099317312,0.3,12.339035118625455,1,0,0,0,0,0,0,55.0
0,1.0,0.9068235158833334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.339035118625455,1,0,0,0,0,0,0,80.0
0,0.875,0.93910196,0.8,0.125,0.6831464767,0.2,0.0,0.0,0.0,12.339035118625455,1,0,0,0,0,0,0,80.0
0,1.0,0.9645266267999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.339035118625455,1,0,0,0,0,0,0,90.0
0,0.8333333333333334,0.9882212519600001,0.8,0.0,0.0,0.0,0.16666666666666666,0.4062684476,0.2,11.396710197043333,1,0,0,0,0,0,0,60.0
0,1.0,0.9294786304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.396710197043333,1,0,0,0,0,0,0,20.0
0,0.3333333333333333,0.9825318256666667,0.2,0.1111111111111111,0.6826192141,0.2,0.5555555555555556,0.17254912556200003,0.6,11.396710197043333,1,0,0,0,0,0,0,55.0
0,1.0,0.8682816028666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.643967469488889,0,0,0,1,0,0,0,100.0
0,0.75,0.9163034756666667,0.9,0.25,0.5999858379,0.1,0.0,0.0,0.0,11.643967469488889,0,0,0,1,0,0,0,45.0
0,0.8333333333333334,0.8924689888799999,0.85,0.16666666666666666,0.6385444999,0.15,0.0,0.0,0.0,11.643967469488889,0,0,0,1,0,0,0,85.0
0,1.0,0.8818305730666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.643967469488889,0,0,0,1,0,0,0,90.0
0,0.2,0.8895267844,0.15,0.2,0.5298752189,0.15,0.6,0.04337771641333334,0.7,11.643967469488889,0,0,0,1,0,0,0,75.0
0,0.8571428571428571,0.8492350776833333,0.9,0.14285714285714285,0.5994064212,0.1,0.0,0.0,0.0,11.643967469488889,0,0,0,1,0,0,0,85.0
0,0.3333333333333333,0.76064011455,0.25,0.16666666666666666,0.6754025817,0.15,0.5,0.2597660099666667,0.6,11.643967469488889,0,0,0,1,0,0,0,40.0
0,0.5,0.7823821604,0.55,0.0,0.0,0.0,0.5,0.36362130940000004,0.45,11.643967469488889,0,0,1,0,0,0,0,80.0
0,0.75,0.8591690858333334,0.65,0.25,0.53988727925,0.35,0.0,0.0,0.0,11.643967469488889,0,0,1,0,0,0,0,80.0
